step,action_type,reward_breakdown
419,unknown,"{'empty_display': 0, 'empty_groupings': -1.8, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -1.8, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
420,group,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.020242859055767785, 'kl_distance': 0, 'compaction_gain': 0.020242859055767785, 'humanity': 1.3499999999999999, 'rules_based_humanity': 1.3499999999999999, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
421,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.11748776394115888, 'kl_distance': 0.11748776394115888, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
422,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.10433700655835275, 'kl_distance': 0.10433700655835275, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
423,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.015667122724407956, 'kl_distance': 0, 'compaction_gain': 0.015667122724407956, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
424,group,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': -0.9, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
425,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
426,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
427,group,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.015667122724407956, 'kl_distance': 0, 'compaction_gain': 0.015667122724407956, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
428,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.10433700800155091, 'kl_distance': 0.10433700800155091, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
429,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
430,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
431,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
432,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': -1.3499999999999999, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
433,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': -0.9, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
434,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
435,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': -1.3499999999999999, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
436,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 1.2966955585514415, 'kl_distance': 1.2966955585514415, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
437,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': -2.0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
438,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
439,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.11052968794367461, 'kl_distance': 0.11052968794367461, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
440,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 2.080028876771535, 'kl_distance': 2.080028876771535, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
441,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
442,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
443,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': -0.9, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
444,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 1.2966955585514415, 'kl_distance': 1.2966955585514415, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
445,unknown,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
446,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 1.9380038544074227, 'kl_distance': 0, 'compaction_gain': 1.9380038544074227, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
447,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
448,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': -0.9, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
449,back,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
450,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
451,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
452,group,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
453,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
454,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
455,back,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
456,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 2.180467072425644, 'kl_distance': 2.180467072425644, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
457,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
458,back,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
459,group,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
460,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
461,group,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
462,back,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
463,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
464,back,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
465,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
466,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
467,group,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
468,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.020242859055767785, 'kl_distance': 0, 'compaction_gain': 0.020242859055767785, 'humanity': 1.3499999999999999, 'rules_based_humanity': 1.3499999999999999, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
469,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
470,group,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.2940132320846069, 'kl_distance': 0, 'compaction_gain': 0.2940132320846069, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
471,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 1.7977489507941586, 'kl_distance': 1.7977489507941586, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
472,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.021126778902132236, 'kl_distance': 0, 'compaction_gain': 0.021126778902132236, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
473,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
474,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
475,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.168379918879265, 'kl_distance': 0, 'compaction_gain': 0.168379918879265, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
